Complete List,
164717,142916
165580,143657
164696,142905
165582,143656
164699,142898
164724,142915
164711,142909
164695,142895
164658,142928
164693,142907
165411,143777
164808,142949
165617,143407
165057,143347
166032,144343
165505,143975
165292,143672
164802,142970
165636,143388
165033,143369
165371,143763
165290,143658
165319,143814
165361,143835
165658,143426
165533,144430
165630,143404
165391,143793
165289,143683
165473,143965
165048,143371
165296,143692
165481,143967
165267,143661
165359,143855
164803,142964
165486,143961
165294,143674
165023,143336
164771,142958
164715,142918
165577,143651
165587,143650
165476,143966
165270,143677
166059,144350
165031,143372
165616,143408
164704,142899
164723,142919
164668,142934
164705,142912
164700,142903
165568,143637
164726,142939
164698,142906
111848,71810
111850,71811
111884,72072
111864,71099
111853,71050
111834,71809
111857,71097
111862,71048
111859,71052
111854,71059
111865,71067
111839,71800
111860,71090
111863,71075
111846,71816
111835,71805
111874,71793
111861,71060
111885,72076
111844,71818
111886,72074
111867,71146
111856,71063
111855,71074
111883,72077
111873,71822
111871,71812
111852,71807
111840,71797
111866,71098
111870,71086
111843,71821
111876,72083
111882,72070
111851,71068
111869,71054
111875,72062
111858,71051
111837,71803
111838,71804
111842,71820
111868,71101
111878,72063
111872,71794
111887,72075
111879,72061
111841,71799
111888,72079
111836,71808
111877,72064
111889,72065
111847,71813
111880,72058
111881,72071
111895,72297
111896,72293
111897,72321
111892,72318
111891,72308
111894,72301
118207,90460
118186,90544
118165,90490
118160,90471
118176,90517
118139,90538
118174,90521
118150,90483
118164,90486
118146,90458
118194,90525
118197,90530
118157,90533
118183,90549
118191,90487
118193,90464
118202,90465
118161,90455
118190,90547
118173,90470
118138,90541
118195,90529
118162,90522
118179,90516
118142,90527
118149,90534
118210,90456
118200,90466
118147,90535
118137,90475
118199,90515
118143,90519
118166,90472
118204,90480
118154,90459
118198,90468
118192,90545
118182,90548
118212,90474
118159,90531
117586,84475
118177,90488
118188,90524
118213,90482
118163,90523
118170,90514
118135,90539
118187,90550
118155,90485
118185,90542
120111,94386
120116,94374
120102,94361
120130,94143
120108,94369
120103,94356
120138,94125
120144,94128
120112,94379
120147,94363
120118,94354
120148,94135
120117,74380
120139,94130
120129,94144
120127,94381
120134,94139
119345,94071
119349,94067
120027,94078
120105,94359
119352,94064
120122,94372
120038,94134
120115,94375
119350,94066
120110,94367
120142,94127
120135,94138
120133,94136
114793,78346
114603,78236
114794,78513
114668,78347
114662,78331
114983,78380
114227,78048
114633,78242
114655,78260
114652,78257
114647,78258
114783,78291
114801,78171
114980,78348
114646,78250
114632,78526
114606,78259
114675,78335
114790,78336
